Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
S25 2XR,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2XS,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2XT,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2XU,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2XW,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2XX,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2XY,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2XZ,Live,E01007792,Rotherham 028D E01007792,28153,9,25854,8,0.059,26931,9,0.053,25169,8,16681,6,22069,7,23893,8,29280,9,23560,8,0.082,21162,7,0.111
S25 2ZH,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2ZJ,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2ZS,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 2ZX,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 2ZY,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 3AB,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3AD,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3AE,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3AL,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3AN,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3AP,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3BY,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3BZ,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3LF,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3NQ,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 3PF,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3PG,Terminated,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
S25 3PH,Live,E01007787,Rotherham 028A E01007787,19260,6,20425,7,0.087,16248,5,0.098,15890,5,16908,6,16824,6,15159,5,19285,6,20460,7,0.107,22409,7,0.102
