lsoa11cd,SP_ID,objectid,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007788,3756,3757,Rotherham 028B,Rotherham 028B,16395855.562108,26252.08557866041,1.79880079946702,0,1.73217854763491,0.6662225183211192,94.16756005131052,45.969353764157226,7.994670219853432,3.997335109926716,93.93737508327781,11625,21219,80
E01007789,3757,3758,Rotherham 028C,Rotherham 028C,2647824.1511285,13323.90545107119,1.48423005565863,0.247371675943105,2.78293135435993,0.1855287569573284,94.64825381267431,68.02721088435375,19.1713048855906,8.039579468150896,145.94928880643167,6667,26177,114
E01007790,3758,3759,Rotherham 029E,Rotherham 029E,480692.3249485,5456.61609779678,2.8956228956229,0.0673400673400673,3.77104377104377,0.20202020202020202,94.63176236761143,183.83838383838383,20.202020202020204,23.56902356902357,402.69360269360266,1129,31715,152
E01007791,3759,3760,Rotherham 029F,Rotherham 029F,288598.434667,3824.17664689824,1.75054704595186,0,2.99051787016776,0.14587892049598833,94.68790364913565,125.45587162654998,17.505470459518598,10.940919037199125,188.18380743982496,3048,29796,137
E01007792,3760,3761,Rotherham 028D,Rotherham 028D,462033.6892865,4573.14401327437,1.55902004454343,0.22271714922049,1.85597624350408,0,94.83378256963164,38.60430586488493,5.939123979213066,1.4847809948032664,77.95100222717149,28153,4691,9
E01007793,3761,3762,Rotherham 004B,Rotherham 004B,908778.692934,6581.37529252914,1.09809663250366,0,1.02489019033675,0,94.83378256963164,64.42166910688141,5.856515373352855,4.392386530014641,95.90043923865301,9722,23122,94
E01007794,3762,3763,Rotherham 004C,Rotherham 004C,238293.2217615,3139.65604161595,2.65177948360084,0.767620376831821,2.16329378925331,1.1165387299371947,93.71724383969445,66.99232379623169,5.582693649685973,8.374040474528961,117.23656664340545,2918,29926,139
E01007795,3763,3764,Rotherham 004D,Rotherham 004D,323513.6168355,3218.80140431484,1.04239054899236,0.0694927032661571,1.04239054899236,0.20847810979847115,94.62530445983316,19.457956914523976,6.949270326615705,2.0847810979847115,47.949965253648365,19430,13414,48
E01007796,3764,3765,Rotherham 003A,Rotherham 003A,200840.2552195,3248.76976451887,1.47058823529412,0.69204152249135,0.69204152249135,0.6055363321799307,94.2282462374517,62.28373702422145,10.380622837370241,3.4602076124567476,115.91695501730104,5184,27660,121
E01007797,3765,3766,Rotherham 003B,Rotherham 003B,392440.1084525,4719.59981918289,2.42290748898678,0.0734214390602056,2.34948604992658,0.4405286343612335,94.39325393527041,25.697503671071953,9.544787077826726,2.936857562408223,58.00293685756241,12381,20463,76
E01007798,3766,3767,Rotherham 003C,Rotherham 003C,399033.160096,3010.56138534363,1.58604282315623,0.0793021411578113,1.4274385408406,0.63441712926249,94.19936544036915,28.548770816812052,5.551149881046788,3.1720856463124503,61.06264869151467,22711,10133,31
E01007799,3767,3768,Rotherham 003D,Rotherham 003D,451589.3600375,4225.97295021008,1.27298444130127,0.282885431400283,1.55586987270156,0.21216407355021216,94.62161849608142,54.45544554455446,10.608203677510609,12.022630834512023,110.32531824611033,9744,23100,93
