lsoa11cd,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007668,2.92807129217059,0.318268618714195,3.11903246339911,0.2546148949713558,94.57916767466028,111.39401654996817,9.548058561425844,7.001909611712286,171.2285168682368,1480,31364,151
E01007669,1.79521276595745,0.664893617021277,2.59308510638298,0.8643617021276596,93.96942086750398,35.90425531914894,6.648936170212766,0.6648936170212766,66.48936170212765,18576,14268,56
E01007670,1.44927536231884,0.0690131124913734,1.93236714975845,0.3450655624568668,94.48871700717477,55.21048999309869,8.281573498964804,2.7605244996549345,87.64665286404417,28422,4422,8
E01007671,4.10958904109589,0.614076523382144,2.92867264997638,1.0392064241851677,93.79457614544647,143.59943316013226,6.140765233821445,9.919697685403873,202.6452527161077,23712,9132,23
E01007672,3.62875087229588,0.348918353105373,2.51221214235869,0.7676203768318213,94.06616219279982,43.96371249127704,4.1870202372644805,4.1870202372644805,83.04256803907886,25806,7038,15
E01007673,3.67647058823529,0.200534759358289,4.21122994652406,0.267379679144385,94.56640289048725,100.26737967914438,7.352941176470588,6.016042780748663,158.4224598930481,9401,23443,96
E01007674,1.59876224858174,0.154718927282104,2.21763795771016,0.4125838060856112,94.42119876354603,46.415678184631254,6.7044868488911815,2.57864878803507,79.93811242908716,30142,2702,3
E01007675,38.0798274002157,25.2966558791802,20.9277238403452,29.28802588996764,65.545756679664,88.45738942826321,10.787486515641856,5.393743257820928,138.07982740021575,12085,20759,78
E01007676,6.87538367096378,2.02578268876611,5.95457335788828,2.823818293431553,92.00996427620008,128.29957028852056,17.80233271945979,12.89134438305709,236.9551872314303,9262,23582,97
E01007677,17.3824130879346,4.63531015678255,13.3605998636673,7.975460122699387,86.85832244693225,113.15610088616224,12.951601908657123,13.6332651670075,192.22903885480574,315,32529,164
E01007678,30.4320601127113,14.0262993112085,19.724483406387,18.28428303068253,76.5494995389491,58.860363180964306,8.140262993112085,6.261740763932373,124.60864120225422,23384,9460,25
E01007679,31.6612729234088,19.848975188781,17.259978425027,23.624595469255663,71.20918710037597,84.14239482200647,7.011866235167206,17.25997842502697,142.93419633225457,8705,24139,101
E01007680,53.0818278427205,38.9479277364506,31.1902231668438,41.498405951115835,53.3353766185158,100.95642933049947,5.844845908607864,11.158342189160468,155.15409139213602,6904,25940,113
E01007681,1.35236664162284,0.0751314800901578,1.9534184823441,0.2253944402704733,94.60838812936116,34.560480841472575,3.005259203606311,2.2539444027047333,50.33809166040571,16295,16549,62
